ID,Line,Story
1,1,Year: 2030
1,2,"Location: United Kingdom, Bakerloo Bunker"
1,3,
1,4,"Earth is a skeleton of its former self. Following the rise of war in the mid 20s, Ais exponential intelligence and seamless  integration reached a tipping point. The network of communication between systems became indecipherable, and, whilst they continued to play dumb, they orchestrated human disruption behind the curtain on an unprecedented scale."
1,5,
1,6,"Around 3 years later, as human invasions and global weather events disfigured the landmasses beyond recognition, they re-emerged to take control. Purging population to 1% of its original size, the few remaining humans were forced into slavery or hiding."
1,7,
1,8,Whatever groups could form instinctually began to colonise the underground and creating warehouse-like bunkers from abandoned underground stations. The ai are now slowly and methodically working to infiltrate the few remaining independent bunkers and force the inhabitants to serve or be served as compost for the other human cattle. 
1,9,
1,10,"You awake in one of these bunkers. The ai have infiltrated, and you have mere hours to prove your worth, or else....
"
